timestamp,city,hour,day_of_week,vehicle_type,distance_km,emission_rate,vehicle_density,travel_time_min,emission_label,city_emission_factor
2008-01-01T04:10:00.097831,Boston,4,1,hybrid,50,5.861,14,2.83,0,1.1
2008-01-01T15:21:05.344820,Chicago,15,1,hybrid,90,7.619,50,3.53,0,1.3
2008-01-01T21:05:39.197853,Los Angeles,21,1,hybrid,10,9.266,101,4.03,0,1.6
2008-01-02T03:33:39.905463,Boston,3,2,bus,20,51.465,11,3.03,1,1.1
2008-01-02T15:21:23.103722,Rural Midwest,15,2,old_diesel,90,51.812,7,2.5,1,0.9
2008-01-02T22:15:51.996153,Rural Midwest,22,2,sedan,40,14.549,3,1.68,0,0.9
2008-01-03T07:11:46.904291,Rural Midwest,7,3,old_diesel,40,56.035,33,2.79,1,0.9
2008-01-03T20:08:21.487747,Detroit,20,3,suv,70,21.979,47,2.55,0,1.5
2008-01-04T03:13:17.767400,Boston,3,4,sedan,20,14.669,15,2.62,0,1.1
2008-01-04T16:15:41.967285,Chicago,16,4,sedan,30,15.395,51,3.03,0,1.3
2008-01-04T16:43:11.683135,Los Angeles,16,4,suv,40,16.446,82,2.83,0,1.6
2008-01-04T18:09:26.787144,Houston,18,4,suv,90,20.088,104,3.76,0,1.7
2008-01-05T13:12:28.489837,San Francisco,13,5,suv,90,18.402,35,2.9,0,1.2
2008-01-05T13:57:10.979495,Rural Midwest,13,5,suv,30,26.636,10,2.32,0,0.9
2008-01-05T16:20:46.687716,Chicago,16,5,sedan,60,11.409,51,2.95,0,1.3
2008-01-05T17:40:05.144096,Detroit,17,5,sedan,70,11.411,95,3.26,0,1.5
2008-01-06T02:22:29.609126,New York,2,6,sedan,80,11.9,17,2.95,0,1.4
2008-01-06T04:57:44.038604,Rural Midwest,4,6,suv,10,19.042,3,2.53,0,0.9
2008-01-06T06:50:45.543208,Houston,6,6,hybrid,80,7.719,28,3.09,0,1.7
2008-01-06T15:20:11.773499,Detroit,15,6,sedan,100,13.744,34,3.13,0,1.5
2008-01-06T20:23:09.352701,Houston,20,6,sedan,20,10.923,44,2.92,0,1.7
2008-01-06T20:53:44.721159,New York,20,6,sedan,100,11.321,41,4.14,0,1.4
2008-01-07T15:11:37.330402,San Francisco,15,0,sedan,30,15.748,51,3.92,0,1.2
2008-01-07T15:31:59.454906,Detroit,15,0,sedan,60,11.951,41,3.16,0,1.5
2008-01-07T19:50:39.702897,Boston,19,0,suv,60,23.807,93,3.61,0,1.1
2008-01-08T07:35:11.339193,Houston,7,1,old_diesel,90,49.813,146,4.11,1,1.7
2008-01-08T11:51:26.406724,Detroit,11,1,sedan,50,11.41,45,3.34,0,1.5
2008-01-08T13:00:53.045146,Boston,13,1,old_diesel,60,57.798,44,3.13,1,1.1
2008-01-08T21:19:43.702538,Detroit,21,1,sedan,100,13.104,52,3.19,0,1.5
2008-01-09T02:52:46.180764,New York,2,2,bus,20,51.437,20,2.86,1,1.4
2008-01-09T05:28:09.912207,Detroit,5,2,bus,20,45.261,16,2.97,1,1.5
2008-01-09T06:16:07.598571,Detroit,6,2,suv,100,25.799,54,2.64,0,1.5
2008-01-09T13:24:23.689705,Chicago,13,2,suv,70,22.074,44,2.54,0,1.3
2008-01-09T14:11:10.695902,Houston,14,2,truck,70,41.916,75,3.41,1,1.7
2008-01-09T15:19:24.506497,New York,15,2,sedan,70,12.447,79,3.26,0,1.4
2008-01-09T15:36:36.663999,Chicago,15,2,hybrid,70,10.071,37,3.07,0,1.3
2008-01-09T15:50:53.520930,New York,15,2,suv,40,30.23,63,3.18,1,1.4
2008-01-09T16:30:08.943303,Detroit,16,2,sedan,40,10.292,43,2.47,0,1.5
2008-01-10T16:44:42.028564,Los Angeles,16,3,truck,20,43.261,69,3.16,1,1.6
2008-01-10T19:38:16.964166,Los Angeles,19,3,hybrid,70,8.239,153,3.7,0,1.6
2008-01-11T01:25:45.491626,New York,1,4,bus,40,53.797,16,2.54,1,1.4
